AAFam	Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	Offspring_DI
1	A2	B10_allLanes_P	G06_allLanes_P	A01_plate06	015R	L-1-15	OD42_2	2	YS77_1	A	5.1423
2	A2	B10_allLanes_P	G06_allLanes_P	A03_plate09	033L	L-2-15	OD42_2	2	YS77_1	A	5.1423
3	A2	B10_allLanes_P	G06_allLanes_P	A02_plate11	032Q	L-1-18	OD42_2	2	YS77_1	A	5.1423
4	A2	B10_allLanes_P	G06_allLanes_P	G02_plate23	083O	L-2-15	OD42_2	2	YS77_1	A	5.1423
5	A2	B10_allLanes_P	G06_allLanes_P	F02_plate11	033U	L-2-15	OD42_2	2	YS77_1	A	5.1423
6	A2	B10_allLanes_P	G06_allLanes_P	C02_plate18	066H	L-1-18	OD42_2	2	YS77_1	A	5.1423
7	A2	B10_allLanes_P	G06_allLanes_P	E02_plate32	115P	L-2-15	OD42_2	2	YS77_1	A	5.1423
8	A5	B10_allLanes_P	B06_allLanes_P	D03_plate16	068A	L-2-18	YN58_2	5	YS77_1	A	6.45
9	B1	F04_allLanes_P	A05_allLanes_P	B01_plate28	097T	L-1-15	YG84_2	1	OS14_1	B	5.95
10	B1	F04_allLanes_P	A05_allLanes_P	A02_plate02	002N	L-1-18	YG84_2	1	OS14_1	B	5.95
11	B2	F04_allLanes_P	G06_allLanes_P	G03_plate10	034T	L-2-18	OD42_2	2	OS14_1	B	5.1423
12	B2	F04_allLanes_P	G06_allLanes_P	A03_plate26	099I	L-2-15	OD42_2	2	OS14_1	B	5.1423
13	B2	F04_allLanes_P	G06_allLanes_P	C02_plate17	066C	L-1-18	OD42_2	2	OS14_1	B	5.1423
14	B2	F04_allLanes_P	G06_allLanes_P	E01_plate03	015D	L-1-15	OD42_2	2	OS14_1	B	5.1423
15	B2	F04_allLanes_P	G06_allLanes_P	H03_plate06	018W	L-2-18	OD42_2	2	OS14_1	B	5.1423
16	B2	F04_allLanes_P	G06_allLanes_P	D01_plate26	097J	L-1-15	OD42_2	2	OS14_1	B	5.1423
17	B2	F04_allLanes_P	G06_allLanes_P	A03_plate18	067N	L-2-15	OD42_2	2	OS14_1	B	5.1423
18	B2	F04_allLanes_P	G06_allLanes_P	G02_plate08	033D	L-2-15	OD42_2	2	OS14_1	B	5.1423
19	B4	F04_allLanes_P	D09_allLanes_P	D01_plate14	047Q	L-1-15	YO65_2	4	OS14_1	B	6.15
20	B5	F04_allLanes_P	B06_allLanes_P	B02_plate17	066B	L-1-18	YN58_2	5	OS14_1	B	6.45
21	C10	C06_allLanes_P	H07_allLanes_P	E01_plate23	081S	L-1-15	OG59_2	10	OC50_1	C	5.6
22	C7	C06_allLanes_P	D05_allLanes_P	D01_plate13	047K	L-1-15	YT35_2	7	OC50_1	C	5.65
23	C8	C06_allLanes_P	B11_allLanes_P	B03_plate22	083L	L-2-15	YO99_2	8	OC50_1	C	6.5
24	C8	C06_allLanes_P	B11_allLanes_P	A01_plate05	015L	L-1-15	YO99_2	8	OC50_1	C	6.5
25	C9	C06_allLanes_P	F08_allLanes_P	C03_plate07	018X	L-2-18	YG96_2	9	OC50_1	C	5.8
26	D10	C11_allLanes_P	H07_allLanes_P	B01_plate23	081P	L-1-15	OG59_2	10	YT86_1	D	5.65
27	D10	C11_allLanes_P	H07_allLanes_P	D03_plate09	034K	L-2-18	OG59_2	10	YT86_1	D	5.65
28	D10	C11_allLanes_P	H07_allLanes_P	A03_plate30	115H	L-2-15	OG59_2	10	YT86_1	D	5.65
29	D10	C11_allLanes_P	H07_allLanes_P	F01_plate19	065V	L-1-15	OG59_2	10	YT86_1	D	5.65
30	D10	C11_allLanes_P	H07_allLanes_P	G03_plate01	002K	L-2-18	OG59_2	10	YT86_1	D	5.65
31	D10	C11_allLanes_P	H07_allLanes_P	F02_plate08	033C	L-2-15	OG59_2	10	YT86_1	D	5.65
32	D10	C11_allLanes_P	H07_allLanes_P	H01_plate05	016L	L-1-18	OG59_2	10	YT86_1	D	5.65
33	D10	C11_allLanes_P	H07_allLanes_P	A01_plate10	031P	L-1-15	OG59_2	10	YT86_1	D	5.65
34	D10	C11_allLanes_P	H07_allLanes_P	C01_plate29	113A	L-1-15	OG59_2	10	YT86_1	D	5.65
35	D10	C11_allLanes_P	H07_allLanes_P	C01_plate25	097C	L-1-15	OG59_2	10	YT86_1	D	5.65
36	D10	C11_allLanes_P	H07_allLanes_P	B02_plate05	016N	L-1-18	OG59_2	10	YT86_1	D	5.65
37	D10	C11_allLanes_P	H07_allLanes_P	F01_plate08	031I	L-1-15	OG59_2	10	YT86_1	D	5.65
38	D10	C11_allLanes_P	H07_allLanes_P	G02_plate12	049B	L-2-15	OG59_2	10	YT86_1	D	5.65
39	D10	C11_allLanes_P	H07_allLanes_P	A03_plate14	049P	L-2-15	OG59_2	10	YT86_1	D	5.65
40	D10	C11_allLanes_P	H07_allLanes_P	H03_plate18	068Q	L-2-18	OG59_2	10	YT86_1	D	5.65
41	D10	C11_allLanes_P	H07_allLanes_P	G03_plate06	018V	L-2-18	OG59_2	10	YT86_1	D	5.65
42	D10	C11_allLanes_P	H07_allLanes_P	B01_plate04	015G	L-1-15	OG59_2	10	YT86_1	D	5.65
43	D10	C11_allLanes_P	H07_allLanes_P	A02_plate17	066A	L-1-18	OG59_2	10	YT86_1	D	5.65
44	D10	C11_allLanes_P	H07_allLanes_P	C01_plate18	065M	L-1-15	OG59_2	10	YT86_1	D	5.65
45	D6	C11_allLanes_P	B01_allLanes_P	G02_plate11	033V	L-2-15	YJ88_2	6	YT86_1	D	5.85
46	D6	C11_allLanes_P	B01_allLanes_P	A01_plate24	081U	L-1-15	YJ88_2	6	YT86_1	D	5.85
47	D6	C11_allLanes_P	B01_allLanes_P	C03_plate16	050Z	L-2-18	YJ88_2	6	YT86_1	D	5.85
48	D6	C11_allLanes_P	B01_allLanes_P	E01_plate11	031Z	L-1-15	YJ88_2	6	YT86_1	D	5.85
49	D6	C11_allLanes_P	B01_allLanes_P	A04_plate13	035T	M-1-15	YJ88_2	6	YT86_1	D	5.85
50	D6	C11_allLanes_P	B01_allLanes_P	E03_plate16	068B	L-2-18	YJ88_2	6	YT86_1	D	5.85
51	D6	C11_allLanes_P	B01_allLanes_P	A02_plate23	082J	L-1-18	YJ88_2	6	YT86_1	D	5.85
52	D6	C11_allLanes_P	B01_allLanes_P	H01_plate27	098G	L-1-18	YJ88_2	6	YT86_1	D	5.85
53	D6	C11_allLanes_P	B01_allLanes_P	F01_plate21	081H	L-1-15	YJ88_2	6	YT86_1	D	5.85
54	D6	C11_allLanes_P	B01_allLanes_P	A01_plate03	001Z	L-1-15	YJ88_2	6	YT86_1	D	5.85
55	D6	C11_allLanes_P	B01_allLanes_P	G02_plate25	099A	L-2-15	YJ88_2	6	YT86_1	D	5.85
56	D6	C11_allLanes_P	B01_allLanes_P	A03_plate17	067H	L-2-15	YJ88_2	6	YT86_1	D	5.85
57	D6	C11_allLanes_P	B01_allLanes_P	D01_plate30	113H	L-1-15	YJ88_2	6	YT86_1	D	5.85
